datetime,open,high,low,close,volume
2023-12-04 09:15:00+05:30,45671.5,45685.35,45504.35,45607.0,0
2023-12-04 09:20:00+05:30,45600.95,45674.55,45578.6,45654.95,0
2023-12-04 09:25:00+05:30,45660.0,45689.3,45626.7,45674.3,0
2023-12-04 09:30:00+05:30,45680.85,45817.95,45667.3,45791.4,0
2023-12-04 09:35:00+05:30,45790.85,45811.3,45749.35,45805.95,0
2023-12-04 09:40:00+05:30,45803.3,45806.8,45753.1,45771.15,0
2023-12-04 09:45:00+05:30,45769.2,45782.7,45747.7,45756.3,0
2023-12-04 09:50:00+05:30,45756.75,45776.8,45716.5,45748.45,0
2023-12-04 09:55:00+05:30,45747.55,45796.65,45740.55,45787.65,0
2023-12-04 10:00:00+05:30,45787.6,45829.65,45737.55,45747.85,0
2023-12-04 10:05:00+05:30,45745.55,45755.7,45700.65,45732.55,0
2023-12-04 10:10:00+05:30,45733.6,45749.75,45714.95,45740.05,0
2023-12-04 10:15:00+05:30,45739.75,45760.8,45731.45,45752.1,0
2023-12-04 10:20:00+05:30,45751.9,45770.5,45734.75,45765.15,0
2023-12-04 10:25:00+05:30,45764.6,45770.45,45749.55,45755.0,0
2023-12-04 10:30:00+05:30,45758.45,45758.95,45720.9,45742.0,0
2023-12-04 10:35:00+05:30,45743.15,45746.3,45715.35,45736.8,0
2023-12-04 10:40:00+05:30,45737.95,45744.0,45714.3,45718.9,0
2023-12-04 10:45:00+05:30,45720.9,45727.55,45706.5,45715.65,0
2023-12-04 10:50:00+05:30,45716.3,45728.35,45707.7,45722.9,0
2023-12-04 10:55:00+05:30,45724.95,45728.85,45709.15,45714.8,0
2023-12-04 11:00:00+05:30,45712.2,45722.5,45657.35,45685.55,0
2023-12-04 11:05:00+05:30,45685.25,45697.35,45669.85,45669.85,0
2023-12-04 11:10:00+05:30,45670.85,45715.5,45667.4,45708.75,0
2023-12-04 11:15:00+05:30,45711.35,45744.15,45709.4,45736.6,0
2023-12-04 11:20:00+05:30,45734.95,45737.55,45713.05,45729.55,0
2023-12-04 11:25:00+05:30,45728.55,45734.55,45711.7,45727.0,0
2023-12-04 11:30:00+05:30,45725.5,45736.55,45718.6,45729.4,0
2023-12-04 11:35:00+05:30,45732.25,45738.95,45725.85,45733.35,0
2023-12-04 11:40:00+05:30,45733.45,45743.05,45725.2,45740.9,0
2023-12-04 11:45:00+05:30,45739.5,45751.35,45737.6,45747.6,0
2023-12-04 11:50:00+05:30,45746.8,45753.7,45738.6,45750.85,0
2023-12-04 11:55:00+05:30,45752.1,45758.45,45739.25,45751.0,0
2023-12-04 12:00:00+05:30,45753.5,45758.45,45734.65,45748.25,0
2023-12-04 12:05:00+05:30,45749.2,45765.5,45746.75,45762.05,0
2023-12-04 12:10:00+05:30,45761.25,45829.8,45760.6,45815.55,0
2023-12-04 12:15:00+05:30,45820.85,45846.75,45818.85,45835.1,0
2023-12-04 12:20:00+05:30,45837.9,45874.8,45819.7,45855.05,0
2023-12-04 12:25:00+05:30,45854.3,45893.05,45849.25,45893.05,0
2023-12-04 12:30:00+05:30,45893.65,45923.3,45869.45,45913.7,0
2023-12-04 12:35:00+05:30,45913.5,45942.8,45910.9,45927.4,0
2023-12-04 12:40:00+05:30,45928.5,45968.2,45921.1,45965.75,0
2023-12-04 12:45:00+05:30,45967.25,45971.65,45927.95,45934.05,0
2023-12-04 12:50:00+05:30,45936.05,45948.05,45929.0,45935.45,0
2023-12-04 12:55:00+05:30,45938.9,46002.75,45933.1,46000.25,0
2023-12-04 13:00:00+05:30,46000.95,46036.0,45974.75,45994.7,0
2023-12-04 13:05:00+05:30,45998.7,46005.5,45972.35,45992.1,0
2023-12-04 13:10:00+05:30,45994.25,46025.6,45985.1,46005.25,0
2023-12-04 13:15:00+05:30,46006.9,46041.65,46003.1,46027.7,0
2023-12-04 13:20:00+05:30,46028.5,46060.5,46027.3,46033.25,0
2023-12-04 13:25:00+05:30,46034.15,46049.9,46012.8,46021.25,0
2023-12-04 13:30:00+05:30,46020.9,46070.15,46015.2,46056.2,0
2023-12-04 13:35:00+05:30,46058.2,46069.55,46043.6,46055.65,0
2023-12-04 13:40:00+05:30,46057.3,46073.95,46038.75,46040.5,0
2023-12-04 13:45:00+05:30,46042.35,46048.8,45948.75,46005.4,0
2023-12-04 13:50:00+05:30,46007.55,46051.7,45998.7,46013.05,0
2023-12-04 13:55:00+05:30,46016.3,46048.55,46016.3,46043.35,0
2023-12-04 14:00:00+05:30,46044.65,46112.95,46043.95,46099.1,0
2023-12-04 14:05:00+05:30,46099.55,46161.6,46099.55,46161.6,0
2023-12-04 14:10:00+05:30,46162.3,46167.85,46137.5,46154.45,0
2023-12-04 14:15:00+05:30,46158.35,46188.5,46151.35,46164.7,0
2023-12-04 14:20:00+05:30,46163.5,46168.7,46118.6,46130.95,0
2023-12-04 14:25:00+05:30,46136.05,46191.8,46128.55,46190.3,0
2023-12-04 14:30:00+05:30,46190.8,46229.65,46189.15,46228.6,0
2023-12-04 14:35:00+05:30,46232.8,46237.7,46202.3,46214.3,0
2023-12-04 14:40:00+05:30,46215.1,46269.4,46204.45,46266.25,0
2023-12-04 14:45:00+05:30,46265.1,46272.45,46234.75,46249.3,0
2023-12-04 14:50:00+05:30,46252.4,46274.2,46229.25,46271.25,0
2023-12-04 14:55:00+05:30,46273.45,46354.7,46254.85,46350.3,0
2023-12-04 15:00:00+05:30,46347.3,46449.55,46284.65,46405.7,0
2023-12-04 15:05:00+05:30,46408.3,46448.45,46366.9,46399.0,0
2023-12-04 15:10:00+05:30,46397.15,46475.4,46387.05,46412.1,0
2023-12-04 15:15:00+05:30,46414.0,46464.0,46406.8,46434.4,0
2023-12-04 15:20:00+05:30,46428.35,46471.45,46421.75,46469.1,0
2023-12-04 15:25:00+05:30,46467.65,46483.3,46420.05,46445.4,0
2023-12-05 09:15:00+05:30,46895.9,46901.25,46659.55,46771.65,0
2023-12-05 09:20:00+05:30,46771.55,46797.4,46724.5,46737.85,0
2023-12-05 09:25:00+05:30,46726.4,46828.45,46719.45,46798.85,0
2023-12-05 09:30:00+05:30,46805.2,46838.8,46768.9,46793.55,0
2023-12-05 09:35:00+05:30,46798.05,46838.75,46786.4,46799.4,0
2023-12-05 09:40:00+05:30,46790.95,46816.35,46772.8,46806.75,0
2023-12-05 09:45:00+05:30,46807.5,46904.25,46802.65,46885.0,0
2023-12-05 09:50:00+05:30,46883.25,46968.3,46878.6,46918.35,0
2023-12-05 09:55:00+05:30,46918.8,46940.75,46865.5,46936.4,0
2023-12-05 10:00:00+05:30,46933.7,46981.7,46921.85,46978.0,0
2023-12-05 10:05:00+05:30,46974.65,46993.15,46956.85,46992.55,0
2023-12-05 10:10:00+05:30,46988.75,47056.7,46940.3,47049.95,0
2023-12-05 10:15:00+05:30,47051.4,47145.55,47034.9,47126.65,0
2023-12-05 10:20:00+05:30,47133.1,47214.9,47072.85,47153.5,0
2023-12-05 10:25:00+05:30,47156.6,47171.75,47143.35,47157.85,0
2023-12-05 10:30:00+05:30,47160.1,47166.6,47065.05,47111.5,0
2023-12-05 10:35:00+05:30,47109.7,47143.75,47003.7,47143.75,0
2023-12-05 10:40:00+05:30,47142.05,47226.4,47133.7,47160.65,0
2023-12-05 10:45:00+05:30,47164.3,47168.8,47116.95,47145.95,0
2023-12-05 10:50:00+05:30,47145.0,47147.75,47101.7,47134.5,0
2023-12-05 10:55:00+05:30,47137.05,47178.7,47122.55,47166.75,0
2023-12-05 11:00:00+05:30,47166.55,47178.65,47133.1,47143.9,0
2023-12-05 11:05:00+05:30,47140.35,47171.1,47044.75,47055.6,0
2023-12-05 11:10:00+05:30,47053.15,47079.8,46954.1,47018.25,0
2023-12-05 11:15:00+05:30,47013.4,47029.1,46847.05,46851.85,0
2023-12-05 11:20:00+05:30,46846.25,46953.05,46808.95,46927.1,0
2023-12-05 11:25:00+05:30,46930.15,46951.1,46897.5,46923.75,0
2023-12-05 11:30:00+05:30,46922.55,46923.45,46815.7,46825.3,0
2023-12-05 11:35:00+05:30,46823.65,46833.65,46745.25,46777.45,0
2023-12-05 11:40:00+05:30,46773.6,46839.0,46736.1,46763.55,0
2023-12-05 11:45:00+05:30,46761.85,46806.25,46752.05,46801.4,0
