entry_time,entry_signal,entry_price,exit_time,exit_signal,exit_price,position,points,pnl_value,exit_reason,status
2026-06-01 11:15:00+05:30,SELL,50076.50557851606,2026-06-01 12:35:00+05:30,BUY,50116.35375539956,SHORT,-39.84817688350449,-1195.4453065051348,SIGNAL,CLOSED
2026-06-01 12:35:00+05:30,BUY,50116.35375539956,2026-06-01 14:00:00+05:30,SELL,50041.67061213004,LONG,-74.68314326952532,-2240.4942980857595,SIGNAL,CLOSED
2026-06-01 14:00:00+05:30,SELL,50041.67061213004,2026-06-01 15:15:00+05:30,BUY,50089.54854752424,SHORT,-47.877935394200904,-1436.3380618260271,SIGNAL,CLOSED
