datetime,open,high,low,close,volume,bar_index,src,xATR,nLoss,xATRTrailingStop,ut_pos,raw_buy,raw_sell,hma,hma_prev,atr_norm,hma_slope,hma_slope_norm,slope_threshold,dist_ok,cooldown_ok,range_buy_ok,range_sell_ok,buy,sell,signal,blocked_buy,blocked_sell,is_chop,stable_bias
2026-06-23 09:15:00+05:30,57886.75,57970.9,57781.25,57831.3,0,1500,57831.3,52.752026025265884,158.25607807579766,57989.5560780758,-1,False,True,57889.01119047619,57916.97109523809,52.752026025265884,-71.69204761904984,1.3590387520796363,0.045,True,True,False,True,False,True,SELL,False,False,False,-1
2026-06-23 09:20:00+05:30,57837.75,57873.0,57821.15,57834.45,0,1501,57834.45,52.68759559488965,158.06278678466896,57989.5560780758,-1,False,False,57862.309499999996,57889.01119047619,52.68759559488965,-76.67816666667204,1.455336228592472,0.045,True,False,False,False,False,False,,False,False,False,-1
2026-06-23 09:25:00+05:30,57842.8,57882.85,57815.3,57880.95,0,1502,57880.95,53.749195909540084,161.24758772862026,57989.5560780758,-1,False,False,57846.87678571428,57862.309499999996,53.749195909540084,-70.09430952381081,1.30409968628702,0.045,True,False,False,False,False,False,,False,False,False,-1
2026-06-23 09:30:00+05:30,57882.35,57906.2,57861.9,57888.0,0,1503,57888.0,53.074253344572625,159.22276003371786,57989.5560780758,-1,False,False,57841.96742857143,57846.87678571428,53.074253344572625,-47.04376190475887,0.8863763301451996,0.045,True,False,False,False,False,False,,False,False,False,-1
2026-06-23 09:35:00+05:30,57893.0,57944.05,57871.95,57939.45,0,1504,57939.45,54.433235248532135,163.2997057455964,57989.5560780758,-1,False,False,57853.954809523806,57841.96742857143,54.433235248532135,-8.354690476189717,0.1534850985440005,0.045,True,True,False,False,False,False,,False,False,False,-1
2026-06-23 09:40:00+05:30,57945.55,57958.55,57886.35,57926.0,0,1505,57926.0,55.7022898736373,167.10686962091188,57989.5560780758,-1,False,False,57873.442119047606,57853.954809523806,55.7022898736373,26.565333333324816,0.4769163600560992,0.045,True,True,False,False,False,False,,False,False,False,1
2026-06-23 09:45:00+05:30,57925.05,57935.9,57885.55,57931.45,0,1506,57931.45,55.31998345409168,165.95995036227504,57989.5560780758,-1,False,False,57895.289666666664,57873.442119047606,55.31998345409168,53.32223809523566,0.9638874555970559,0.045,True,True,False,False,False,False,,False,False,False,1
2026-06-23 09:50:00+05:30,57934.15,57957.5,57910.2,57950.85,0,1507,57950.85,54.74712749308534,164.241382479256,57989.5560780758,-1,False,False,57919.01733333334,57895.289666666664,54.74712749308534,65.06252380953083,1.1884189507065617,0.045,True,True,False,False,False,False,,False,False,False,1
2026-06-23 09:55:00+05:30,57951.85,57953.8,57925.45,57951.85,0,1508,57951.85,52.8616183864368,158.5848551593104,57989.5560780758,-1,False,False,57939.46252380952,57919.01733333334,52.8616183864368,66.02040476191178,1.248928935154419,0.045,True,True,False,False,False,False,,False,False,False,1
2026-06-23 10:00:00+05:30,57946.75,57953.9,57898.6,57933.3,0,1509,57933.3,53.03578850169152,159.10736550507457,57989.5560780758,-1,False,False,57951.87202380953,57939.46252380952,53.03578850169152,56.58235714286275,1.06687123433751,0.045,True,True,False,False,False,False,,False,False,False,1
2026-06-23 10:05:00+05:30,57933.05,57944.1,57881.3,57897.95,0,1510,57897.95,53.73323218014182,161.19969654042546,57989.5560780758,-1,False,False,57951.719690476195,57951.87202380953,53.73323218014182,32.70235714285809,0.6086058071701835,0.045,True,True,False,False,False,False,,False,False,False,1
2026-06-23 10:10:00+05:30,57903.0,57908.65,57868.6,57880.15,0,1511,57880.15,52.755858452989045,158.26757535896712,57989.5560780758,-1,False,False,57939.578095238096,57951.719690476195,52.755858452989045,0.1155714285778231,0.0021906842570064374,0.045,True,True,False,False,False,False,,False,False,False,1
