datetime,open,high,low,close,volume,bar_index,src,xATR,nLoss,xATRTrailingStop,ut_pos,raw_buy,raw_sell,hma,hma_prev,atr_norm,hma_slope,hma_slope_norm,slope_threshold,dist_ok,cooldown_ok,range_buy_ok,range_sell_ok,buy,sell,signal,blocked_buy,blocked_sell,is_chop,stable_bias
2026-05-26 09:15:00+05:30,55311.8,55377.7,55190.25,55318.9,0,0,55318.9,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 09:20:00+05:30,55319.75,55454.85,55313.85,55379.45,0,1,55379.45,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 09:25:00+05:30,55383.9,55419.6,55346.45,55409.95,0,2,55409.95,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 09:30:00+05:30,55410.4,55426.95,55395.5,55405.05,0,3,55405.05,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 09:35:00+05:30,55402.85,55527.3,55373.9,55516.5,0,4,55516.5,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 09:40:00+05:30,55514.2,55536.8,55429.25,55459.0,0,5,55459.0,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 09:45:00+05:30,55457.2,55463.95,55424.0,55429.0,0,6,55429.0,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 09:50:00+05:30,55427.5,55452.3,55368.2,55368.8,0,7,55368.8,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 09:55:00+05:30,55343.1,55368.2,55235.7,55286.4,0,8,55286.4,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:00:00+05:30,55285.35,55370.3,55259.4,55346.3,0,9,55346.3,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:05:00+05:30,55346.2,55357.8,55287.7,55343.75,0,10,55343.75,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:10:00+05:30,55343.95,55403.75,55343.95,55396.45,0,11,55396.45,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
