datetime,open,high,low,close,volume,bar_index,src,xATR,nLoss,xATRTrailingStop,ut_pos,raw_buy,raw_sell,hma,hma_prev,atr_norm,hma_slope,hma_slope_norm,slope_threshold,dist_ok,cooldown_ok,range_buy_ok,range_sell_ok,buy,sell,signal,blocked_buy,blocked_sell,is_chop,stable_bias
2026-05-26 10:10:00+05:30,55343.95,55403.75,55343.95,55396.45,0,0,55396.45,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:15:00+05:30,55396.85,55411.9,55351.5,55357.45,0,1,55357.45,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:20:00+05:30,55362.4,55447.75,55320.1,55442.05,0,2,55442.05,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:25:00+05:30,55445.75,55455.05,55417.1,55425.8,0,3,55425.8,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:30:00+05:30,55421.15,55439.1,55386.15,55437.55,0,4,55437.55,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:35:00+05:30,55437.6,55481.45,55417.3,55458.35,0,5,55458.35,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:40:00+05:30,55457.75,55463.3,55437.35,55444.8,0,6,55444.8,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:45:00+05:30,55448.0,55465.1,55435.55,55458.75,0,7,55458.75,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:50:00+05:30,55458.8,55502.4,55437.25,55492.1,0,8,55492.1,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 10:55:00+05:30,55488.55,55509.8,55437.7,55465.8,0,9,55465.8,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 11:00:00+05:30,55471.0,55500.5,55461.35,55471.1,0,10,55471.1,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 11:05:00+05:30,55468.0,55482.55,55415.45,55444.5,0,11,55444.5,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 11:10:00+05:30,55442.2,55450.75,55397.0,55401.5,0,12,55401.5,,,,0,False,False,,,,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 11:15:00+05:30,55397.4,55406.45,55353.1,55359.25,0,13,55359.25,57.78571428571532,173.35714285714596,55185.892857142855,0,False,False,,,57.78571428571532,,,0.045,False,True,False,True,False,False,,False,False,False,0
2026-05-26 11:20:00+05:30,55359.4,55373.1,55308.45,55314.1,0,14,55314.1,58.276020408164335,174.828061224493,55185.892857142855,0,False,False,,,58.276020408164335,,,0.045,False,True,False,True,False,False,,False,False,False,0
2026-05-26 11:25:00+05:30,55313.35,55348.2,55312.55,55319.8,0,15,55319.8,56.65987609329504,169.9796282798851,55185.892857142855,0,False,False,,,56.65987609329504,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 11:30:00+05:30,55320.4,55338.2,55277.7,55337.2,0,16,55337.2,56.93417065805968,170.80251197417903,55185.892857142855,0,False,False,55336.51354761903,,56.93417065805968,,,0.045,False,True,False,False,False,False,,False,False,False,0
2026-05-26 11:35:00+05:30,55334.65,55411.05,55327.4,55408.6,0,17,55408.6,58.84244418248409,176.52733254745226,55232.07266745254,0,False,False,55325.47685714285,55336.51354761903,58.84244418248409,,,0.045,True,True,False,False,False,False,,False,False,False,0
2026-05-26 11:40:00+05:30,55405.65,55409.55,55369.8,55377.15,0,18,55377.15,57.47869816944951,172.43609450834853,55232.07266745254,0,False,False,55326.68733333333,55325.47685714285,57.47869816944951,,,0.045,True,True,False,False,False,False,,False,False,False,0
2026-05-26 11:45:00+05:30,55373.7,55384.0,55329.65,55359.25,0,19,55359.25,57.255219728774435,171.76565918632332,55232.07266745254,0,False,False,55333.5035952381,55326.68733333333,57.255219728774435,-3.0099523809331004,0.05257079433441429,0.045,True,True,False,False,False,False,,False,False,False,0
2026-05-26 11:50:00+05:30,55360.7,55373.75,55314.8,55339.7,0,20,55339.7,57.37627546243319,172.12882638729957,55232.07266745254,0,False,False,55339.57426190477,55333.5035952381,57.37627546243319,14.09740476191655,0.24570093907797746,0.045,False,True,False,False,False,False,,False,False,False,1
2026-05-26 11:55:00+05:30,55336.5,55347.8,55271.75,55276.85,0,21,55276.85,58.710112929402456,176.13033878820738,55232.07266745254,0,False,False,55333.868142857136,55339.57426190477,58.710112929402456,7.180809523808421,0.12230958459308666,0.045,True,True,False,True,False,False,,False,False,False,1
2026-05-26 12:00:00+05:30,55273.3,55281.8,55206.2,55280.3,0,22,55280.3,59.916533434445554,179.74960030333665,55232.07266745254,0,False,False,55320.99285714285,55333.868142857136,59.916533434445554,-12.51073809524678,0.20880276908767975,0.045,True,True,False,False,False,False,,False,False,False,-1
2026-05-26 12:05:00+05:30,55276.65,55288.75,55236.2,55245.8,0,23,55245.8,59.39035247484251,178.17105742452753,55232.07266745254,0,False,False,55298.99795238096,55320.99285714285,59.39035247484251,-40.57630952380714,0.683213818961507,0.045,True,True,False,False,False,False,,False,False,False,-1
2026-05-26 12:10:00+05:30,55246.3,55254.1,55203.7,55209.0,0,24,55209.0,58.74818444092529,176.2445533227759,55385.24455332277,-1,False,True,55267.99904761904,55298.99795238096,58.74818444092529,-65.869095238093,1.1212107380837988,0.045,True,True,False,False,False,True,SELL,False,False,False,-1
2026-05-26 12:15:00+05:30,55208.05,55247.25,55193.25,55237.2,0,25,55237.2,58.409028409430626,175.22708522829188,55385.24455332277,-1,False,False,55240.972714285715,55267.99904761904,58.409028409430626,-80.02014285713813,1.3699961296431735,0.045,False,False,False,False,False,False,,False,False,False,-1
2026-05-26 12:20:00+05:30,55235.05,55250.3,55199.6,55201.2,0,26,55201.2,57.85838352304303,173.5751505691291,55374.77515056913,-1,False,False,55215.50895238095,55240.972714285715,57.85838352304303,-83.48900000000867,1.4429888101999573,0.045,True,False,False,False,False,False,,False,False,False,-1
2026-05-26 12:25:00+05:30,55201.85,55209.35,55145.45,55163.8,0,27,55163.8,58.28992755711149,174.86978267133446,55338.669782671335,-1,False,False,55190.27335714287,55215.50895238095,58.28992755711149,-77.72569047617435,1.3334326140656123,0.045,True,False,False,True,False,False,,False,False,False,-1
2026-05-26 12:30:00+05:30,55162.95,55200.75,55150.65,55154.25,0,28,55154.25,57.70493273160342,173.11479819481025,55327.36479819481,-1,False,False,55167.79326190477,55190.27335714287,57.70493273160342,-73.17945238094399,1.2681663233421567,0.045,True,True,False,False,False,False,,False,False,False,-1
2026-05-26 12:35:00+05:30,55152.15,55196.35,55125.7,55193.4,0,29,55193.4,58.62958039363185,175.88874118089555,55327.36479819481,-1,False,False,55154.72530952381,55167.79326190477,58.62958039363185,-60.78364285713906,1.0367401992142038,0.045,True,True,False,False,False,False,,False,False,False,-1
2026-05-26 12:40:00+05:30,55192.25,55199.9,55136.4,55142.9,0,30,55142.9,58.977467508372435,176.9324025251173,55319.83240252512,-1,False,False,55143.73602380953,55154.72530952381,58.977467508372435,-46.53733333334094,0.7890697125429217,0.045,False,True,False,False,False,False,,False,False,False,-1
2026-05-26 12:45:00+05:30,55143.15,55147.9,55099.55,55124.35,0,31,55124.35,58.218362686345735,174.6550880590372,55299.005088059035,-1,False,False,55133.20995238095,55143.73602380953,58.218362686345735,-34.58330952381948,0.5940275186050619,0.045,True,True,False,True,False,False,,False,False,False,-1
2026-05-26 12:50:00+05:30,55122.7,55132.35,55064.8,55126.9,0,32,55126.9,58.8849082087493,176.6547246262479,55299.005088059035,-1,False,False,55123.45926190476,55133.20995238095,58.8849082087493,-31.26604761905037,0.5309687757041415,0.045,False,True,False,False,False,False,,False,False,False,-1
2026-05-26 12:55:00+05:30,55126.55,55133.2,55077.4,55122.1,0,33,55122.1,58.66455762240975,175.99367286722926,55298.09367286723,-1,False,False,55114.87319047619,55123.45926190476,58.66455762240975,-28.86283333333995,0.4919978007694786,0.045,True,True,False,False,False,False,,False,False,False,-1
2026-05-26 13:00:00+05:30,55117.15,55121.0,55018.2,55040.55,0,34,55040.55,61.89566064938059,185.68698194814175,55226.23698194815,-1,False,False,55097.52823809523,55114.87319047619,61.89566064938059,-35.68171428572532,0.5764816775743131,0.045,True,True,False,True,False,False,,False,False,False,-1
2026-05-26 13:05:00+05:30,55037.75,55096.15,55036.95,55075.75,0,35,55075.75,61.70311346013943,185.10934038041827,55226.23698194815,-1,False,False,55080.94916666666,55097.52823809523,61.70311346013943,-42.51009523810353,0.6889457088022843,0.045,False,True,False,False,False,False,,False,False,False,-1
2026-05-26 13:10:00+05:30,55077.25,55136.1,55065.65,55076.4,0,36,55076.4,62.32789107012926,186.9836732103878,55226.23698194815,-1,False,False,55066.67202380953,55080.94916666666,62.32789107012926,-48.20116666665854,0.7733482689543305,0.045,True,True,False,False,False,False,,False,False,False,-1
